"","Year","Month","Date","dSST3.4","ONI","ONI_month_window","phase"
"259",1971,"Jul",1971-07-01,-0.82,-0.796666666666667,"JJA","Cool Phase/La Nina"
"260",1971,"Aug",1971-08-01,-0.79,-0.773333333333333,"JAS","Cool Phase/La Nina"
"261",1971,"Sep",1971-09-01,-0.71,-0.82,"ASO","Cool Phase/La Nina"
"262",1971,"Oct",1971-10-01,-0.96,-0.85,"SON","Cool Phase/La Nina"
"263",1971,"Nov",1971-11-01,-0.88,-0.956666666666667,"OND","Cool Phase/La Nina"
"264",1971,"Dec",1971-12-01,-1.03,-0.896666666666667,"NDJ","Cool Phase/La Nina"
"265",1972,"Jan",1972-01-01,-0.78,-0.703333333333333,"DJF","Cool Phase/La Nina"
"266",1972,"Feb",1972-02-01,-0.3,-0.35,"JFM","Neutral Phase"
"267",1972,"Mar",1972-03-01,0.03,0.06,"FMA","Neutral Phase"
"268",1972,"Apr",1972-04-01,0.45,0.41,"MAM","Neutral Phase"
"269",1972,"May",1972-05-01,0.75,0.666666666666667,"AMJ","Warm Phase/El Nino"
"270",1972,"Jun",1972-06-01,0.8,0.916666666666667,"MJJ","Warm Phase/El Nino"
"271",1972,"Jul",1972-07-01,1.2,1.13333333333333,"JJA","Warm Phase/El Nino"
"272",1972,"Aug",1972-08-01,1.4,1.37333333333333,"JAS","Warm Phase/El Nino"
"273",1972,"Sep",1972-09-01,1.52,1.58333333333333,"ASO","Warm Phase/El Nino"
"274",1972,"Oct",1972-10-01,1.83,1.84,"SON","Warm Phase/El Nino"
"275",1972,"Nov",1972-11-01,2.17,2.09333333333333,"OND","Warm Phase/El Nino"
"276",1972,"Dec",1972-12-01,2.28,2.12333333333333,"NDJ","Warm Phase/El Nino"
"277",1973,"Jan",1973-01-01,1.92,1.84666666666667,"DJF","Warm Phase/El Nino"
"278",1973,"Feb",1973-02-01,1.34,1.25,"JFM","Warm Phase/El Nino"
"279",1973,"Mar",1973-03-01,0.49,0.546666666666667,"FMA","Warm Phase/El Nino"
"280",1973,"Apr",1973-04-01,-0.19,-0.0966666666666667,"MAM","Neutral Phase"
"281",1973,"May",1973-05-01,-0.59,-0.536666666666667,"AMJ","Cool Phase/La Nina"
"282",1973,"Jun",1973-06-01,-0.83,-0.866666666666667,"MJJ","Cool Phase/La Nina"
"283",1973,"Jul",1973-07-01,-1.18,-1.10666666666667,"JJA","Cool Phase/La Nina"
"284",1973,"Aug",1973-08-01,-1.31,-1.28333333333333,"JAS","Cool Phase/La Nina"
"285",1973,"Sep",1973-09-01,-1.36,-1.45333333333333,"ASO","Cool Phase/La Nina"
"286",1973,"Oct",1973-10-01,-1.69,-1.71333333333333,"SON","Cool Phase/La Nina"
"287",1973,"Nov",1973-11-01,-2.09,-1.94666666666667,"OND","Cool Phase/La Nina"
